episode,ep_length,ep_env_return,ep_shaping_return,ep_final_bonus
425,105.0,3.0,0.0,0.0
426,96.0,2.0,0.0,0.0
427,94.0,0.0,0.0,0.0
428,89.0,0.0,0.0,0.0
429,108.0,3.0,0.0,0.0
430,122.0,1.0,0.0,0.0
431,88.0,2.0,0.0,0.0
432,106.0,0.0,0.0,0.0
433,106.0,3.0,0.0,0.0
434,103.0,3.0,0.0,0.0
435,109.0,0.0,0.0,0.0
436,105.0,0.0,0.0,0.0
437,117.0,0.0,0.0,0.0
438,123.0,3.0,0.0,0.0
439,124.0,0.0,0.0,0.0
440,101.0,2.0,0.0,0.0
441,95.0,3.0,0.0,0.0
442,97.0,2.0,0.0,0.0
443,126.0,0.0,0.0,0.0
444,99.0,2.0,0.0,0.0
445,99.0,1.0,0.0,0.0
446,127.0,0.0,0.0,0.0
447,94.0,2.0,0.0,0.0
448,102.0,3.0,0.0,0.0
449,107.0,0.0,0.0,0.0
450,108.0,0.0,0.0,0.0
451,107.0,3.0,0.0,0.0
452,111.0,3.0,0.0,0.0
453,124.0,0.0,0.0,0.0
454,112.0,2.0,0.0,0.0
455,104.0,2.0,0.0,0.0
456,97.0,3.0,0.0,0.0
457,128.0,2.0,0.0,0.0
458,111.0,1.0,0.0,0.0
459,74.0,2.0,0.0,0.0
460,93.0,2.0,0.0,0.0
461,119.0,0.0,0.0,0.0
462,101.0,0.0,0.0,0.0
463,118.0,2.0,0.0,0.0
464,108.0,2.0,0.0,0.0
465,115.0,1.0,0.0,0.0
466,115.0,0.0,0.0,0.0
467,119.0,0.0,0.0,0.0
468,92.0,1.0,0.0,0.0
469,111.0,0.0,0.0,0.0
470,88.0,1.0,0.0,0.0
471,104.0,0.0,0.0,0.0
472,101.0,1.0,0.0,0.0
473,79.0,0.0,0.0,0.0
474,109.0,2.0,0.0,0.0
475,93.0,1.0,0.0,0.0
476,111.0,3.0,0.0,0.0
477,100.0,3.0,0.0,0.0
478,99.0,2.0,0.0,0.0
479,75.0,0.0,0.0,0.0
480,108.0,0.0,0.0,0.0
481,112.0,0.0,0.0,0.0
482,103.0,1.0,0.0,0.0
483,124.0,1.0,0.0,0.0
484,102.0,3.0,0.0,0.0
485,120.0,3.0,0.0,0.0
486,95.0,3.0,0.0,0.0
487,92.0,1.0,0.0,0.0
488,110.0,1.0,0.0,0.0
489,117.0,1.0,0.0,0.0
490,118.0,2.0,0.0,0.0
491,93.0,3.0,0.0,0.0
492,98.0,0.0,0.0,0.0
493,109.0,2.0,0.0,0.0
494,101.0,2.0,0.0,0.0
495,129.0,1.0,0.0,0.0
496,121.0,2.0,0.0,0.0
497,89.0,1.0,0.0,0.0
498,100.0,0.0,0.0,0.0
499,105.0,3.0,0.0,0.0
500,101.0,1.0,0.0,0.0
501,100.0,0.0,0.0,0.0
502,106.0,3.0,0.0,0.0
503,97.0,0.0,0.0,0.0
504,115.0,0.0,0.0,0.0
505,107.0,1.0,0.0,0.0
506,104.0,2.0,0.0,0.0
507,107.0,1.0,0.0,0.0
508,115.0,2.0,0.0,0.0
509,116.0,1.0,0.0,0.0
510,116.0,1.0,0.0,0.0
511,118.0,0.0,0.0,0.0
512,110.0,1.0,0.0,0.0
513,91.0,1.0,0.0,0.0
514,104.0,1.0,0.0,0.0
515,104.0,1.0,0.0,0.0
516,88.0,1.0,0.0,0.0
517,111.0,1.0,0.0,0.0
518,95.0,3.0,0.0,0.0
519,115.0,2.0,0.0,0.0
520,114.0,2.0,0.0,0.0
521,106.0,1.0,0.0,0.0
522,123.0,0.0,0.0,0.0
523,92.0,0.0,0.0,0.0
524,100.0,3.0,0.0,0.0
525,116.0,1.0,0.0,0.0
526,119.0,0.0,0.0,0.0
527,133.0,1.0,0.0,0.0
528,101.0,1.0,0.0,0.0
529,103.0,0.0,0.0,0.0
