episode,ep_length,ep_env_return_p0,ep_shaping_return_p0,ep_final_bonus_p0,ep_env_return_avg,ep_shaping_return_avg,ep_final_bonus_avg,epsilon
308,21.0,0.0,0.0,0.0,1.5,0.0,0.0,0.06381846071684502
309,32.0,3.0,0.0,0.0,1.5,0.0,0.0,0.06320864382203911
310,28.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0626798359915338
311,21.0,3.0,0.0,0.0,1.5,0.0,0.0,0.06228613542589004
312,22.0,1.0,0.0,0.0,1.5,0.0,0.0,0.061876339274663766
313,29.0,1.0,0.0,0.0,1.5,0.0,0.0,0.06134026999170159
314,31.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0607723651421244
315,23.0,0.0,0.0,0.0,1.5,0.0,0.0,0.06035441670779986
316,25.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05990338440990967
317,25.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05945572270434457
318,32.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05888759392482305
319,29.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05837741781193892
320,24.0,1.0,0.0,0.0,1.5,0.0,0.0,0.057958547313560885
321,32.0,1.0,0.0,0.0,1.5,0.0,0.0,0.057404724783947786
322,32.0,3.0,0.0,0.0,1.5,0.0,0.0,0.056856194301988114
323,26.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05641437504568706
324,24.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05600958980035133
325,33.0,1.0,0.0,0.0,1.5,0.0,0.0,0.055457748204682765
326,18.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0551590387970986
327,33.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05461557736319353
328,27.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05417491218712858
329,33.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0536411469856137
330,26.0,3.0,0.0,0.0,1.5,0.0,0.0,0.053224311283553864
331,27.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05279487152231627
332,37.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05221200192536912
333,31.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05172860905631977
334,31.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05124969156950498
335,30.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05079044516417195
336,34.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05027493884600807
337,25.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
338,25.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
339,28.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
340,30.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
341,31.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
342,21.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
343,29.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
344,30.0,2.0,0.0,0.0,1.5,0.0,0.0,0.05
345,29.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
346,28.0,0.0,0.0,0.0,1.5,0.0,0.0,0.05
347,15.0,3.0,0.0,0.0,1.5,0.0,0.0,0.05
348,28.0,1.0,0.0,0.0,1.5,0.0,0.0,0.05
